university_name,desc,Address,City,State,Phone,Email
Children’s University  - Admissions to 2025 - 2026 Academic Year,State University,"Subhash Chandra Bose Shixan Sankul,Sector - 20, Gandhinagar, Gujarat- 382021",Gandhinagar,Gujarat,+91 - 79 - 23244576/23244569,info.chiuni@gmail.com
Gujarat Forensic Sciences University  - Admissions to 2025 - 2026 Academic Year,State University,"Nr. DFS Headquarters, Sector 9, Gandhinagar, Gujarat 382007",Gandhinagar,Gujarat,079 2397 7102,
Navrachana-University  - Admissions to 2025 - 2026 Academic Year,The Navrachana University was established by an Act of the Gujarat Legislature in July 2009. It is recognized by the University Grant Commission (UGC) and is empowered to award degrees.,"Navrachana University,Vasna Bhayli Road, Vadodara - 391 410.",Vadodara,Gujarat,0265-3020100 0265-3020110,nuv@nuv.ac.in
Centre for Environmental Planning & Technology University  - Admissions to 2025 - 2026 Academic Year,,"Kasturbhai Lalbhai Campus, University Road, Ahmedabad - 380009, Gujarat, India.",Ahmedabad,Gujarat,"091-79-26302452, 26302470",registrar@cept.ac.in
National Institute of Pharmaceutical Education and Research  - Admissions to 2025 - 2026 Academic Year,Institute of National Importance,"NIPER AhmedabadC/o. B. V. Patel PERD CentreSarkhej - Gandhinagar Highway, Thaltej,Ahmedabad-380054, Gujarat, India.",Ahmedabad,Gujarat,+91 79 27401191/92/93; 27439375 / 27416409 Fax : +91 79 27401192 ; 27450449,registrar@niperahm.ac.in
Lakulish Yoga University  - Admissions to 2025 - 2026 Academic Year,Private University,"Chharodi, Opposite Nirma University Sarkhej-Gandhinagar Highway Daskroi, Ahmedabad, Gujarat 380060",Ahmedabad,Gujarat,079 6544 5678,
Krantiguru Shyamji Krishna Verma Kachchh University  - Admissions to 2025 - 2026 Academic Year,,"Kachchh University Campus, Mundra Road, Bhuj, Kachchh 370001",Kachchh,Gujarat,"02832 - 252222 , 290245",info@kskvkachchhuniversity.org
Kamdhenu University  - Admissions to 2025 - 2026 Academic Year,State University,"Karmayogi Bhavan, Block-1, B1-wing, 4th Floor, Sector-10-A,Di: Gandhinagar-382010Gujarat, India.",Gandhinagar,Gujarat,079 6572 6668,registar.kamdhenuuniversity@gmail.com
Gujarat University of Transplantation Sciences  - Admissions to 2025 - 2026 Academic Year,State University,"IKDRC-ITS Premises, Civil Hospital Campus,Asarwa,Ahmedabad – 380 016, Gujarat, India",Asarwa,Gujarat,+91 79 22682241 Fax: +91 79 22684716,info@guts.education
National Institute of Design  - Admissions to 2025 - 2026 Academic Year,Institute of National Importance,"Opp Tagore Hall, Paldi, Ahmedabad, Gujarat 380007",Ahmedabad,Gujarat,079 2662 9500,
Maharaja Sayajirao University of Baroda  - Admissions to 2025 - 2026 Academic Year,"Having its origins as Baroda College that was established in 1881, Maharaja Sayajirao University of Baroda earned the status of a university in 1949. It had the patronage of the last Maharaja of the then Baroda state, who named it after his grandfather, Maharaja Sayajirao Gaekwad III. Know its rich history and other relevant details.","Pratapgunj, Vadodara - 390002",Vadodara,Gujarat,+91-265-2795555,http://info@msubaroda.ac.in/
Kadi Sarva Vishwavidyalaya  - Admissions to 2025 - 2026 Academic Year,Private University,"Road Number 5, Sector 15, Gandhinagar, Gujarat 382015",Gandhinagar,Gujarat,079 2324 4690,
Institute of Technology and Management (I.T.M.) Vocational University  - Admissions to 2025 - 2026 Academic Year,Private University,"301, Atlantis, Opp. Honest Restaurant, Near Atlantis Heights, Sarabhai Compound, Sarabhai Main Road, Vadodara, Gujarat 390007",Vadodara,Gujarat,080008 61008,
Institute of Advanced Research  - Admissions to 2025 - 2026 Academic Year,Private University,"Institutional Area, PDPU Rd, Koba, Gandhinagar,Gujarat 382007",Gandhinagar,Gujarat,079 3051 4202,
Maharaja Krishnakumarsinji Bhavnagar University  - Admissions to 2025 - 2026 Academic Year,"Keen to work in research areas associated with marine ecology and its related aspects? One of the many fields covered by the Dept. of Marine Sciences at Maharaja Krishnakumarsinhji Bhavnagar University is marine life. Know what are the other unique subjects offered by this and other departments of the university for their UG and PG programs, as well as research areas, including those devoted to languages, commerce, business administration, etc.",Gaurishanker Lake Road Bhavnagar - 364 002,Bhavnagar,Gujarat,+91-278-2430002 +91-278-2430006/07,registrar@mkbhavuni.edu.in
Indus University  - Admissions to 2025 - 2026 Academic Year,Private University,"Rancharda, Thaltej, Ahmedabad, Gujarat 382115",Thaltej,Gujarat,02764 260 277,
Indian Institute of Technology Gandhinagar  - Admissions to 2025 - 2026 Academic Year,Institute of National Importance,"IIT GandhinagarVishwakarma Government Engineering College Complex,Chandkheda, Visat-Gandhinagar Highway, Ahmedabad, Gujarat,India - 382424",Ahmedabad,Gujarat,+91 93284 74222 +91 93284 74223,office@iitgn.ac.in
Indian Institute of Teacher Education  - Admissions to 2025 - 2026 Academic Year,State Universiy,"Ramkrushna Paramhans Vidya Sankul, Near KH-5, KH Road, Sector - 15, Gandhinagar, Gujarat 382016",Gandhinagar,Gujarat,079 2324 3733,
Institute of Infrastructure Technology Research and Management  - Admissions to 2025 - 2026 Academic Year,State University,"Near Khokhara Circle, Maninagar East, Ahmedabad, Gujarat 380026",Maninagar,Gujarat,079 2929 2910,
Veer Narmad South Gujarat University.  - Admissions to 2025 - 2026 Academic Year,,"Udhna Magdalla Road, Near Vesu Char Rasta, Surat, 395007",Surat,Gujarat,0261- 2227141 - 46,
Junagarh Agricultural University  - Admissions to 2025 - 2026 Academic Year,State University,"Junagadh Road, Junagadh, Gujarat 362001",Junagadh,Gujarat,0285 267 2080,
UKA Tarsadia University  - Admissions to 2025 - 2026 Academic Year,"Thinking of taking admission in UKA Tarsadia University for a professional degree course in the management field? Find complete information about the courses offered, admission procedure, fee structure, etc.","Maliba Campus, Gopal Vidyanagar, Bardoli- Tarsadi Taluka Mahuva, Mahuva-Bardoli Rd, Surat, Gujarat 394350",Mahuva,Gujarat,02625 254 141,
Team Lease Skills University  - Admissions to 2025 - 2026 Academic Year,Private University,"Vadadala Road, Adarsh Nagar, Dhaniavi Exit, Tarsali, Vadodara, Gujarat 390009",Vadodara,Gujarat,0265 330 9116,
Swarnim Gujarat Sports University  - Admissions to 2025 - 2026 Academic Year,State University,"Commerce College Campus, Opp Youth Hostel, Sector 15, Gandhinagar, Gujarat 382021",Gandhinagar,Gujarat,079 2328 8364,
Shree Somnath Sanskrit University  - Admissions to 2025 - 2026 Academic Year,,Ta Veraval District Junagarh-362268,Junagarh,Gujarat,,
Saurashtra University  - Admissions to 2025 - 2026 Academic Year,,University Road Rajkot-360 005,Rajkot,Gujarat,2578501,registrar@sauuni.ernet.in/www.sauuni.ernet.in
Sardar Vallabhbhai National Institute of Technology  - Admissions to 2025 - 2026 Academic Year,Institute of National Importance,"Sardar Vallabhbhai National Institute of Technology,Dumas Road,Ichchhanath,Surat. Pin: 395007 Gujarat",Surat,Gujarat,"0261-2259571, 2259582. Fax : 0261-2227334, 2228394",
Sardar Patel University  - Admissions to 2025 - 2026 Academic Year,,Vallabh Vidyanagar - 388 120,Vidyanagar,Gujarat,02692-226898 (Admission helpline) 02692-226807,registrar@spuvvn.edu
Sabarmathi University (Formerly Calorx Teachers' University)  - Admissions to 2025 - 2026 Academic Year,"Located in Ahmedabad, Gujarat, Sabarmati University in Green Woods Campus near Vaishno Devi Circle is a famous college that offers UG, PG, and doctoral programs in diverse subjects. Learn about course details, course structure, admission process, infrastructure facilities, and contact details of this institution, formerly known as Calorx Teacher's University.","Nr. Greenwood Lake Resort, Vaishno Devi Circle, Sardar Patel Ring Road,Post Office- ChandlodiaAhmedabad - 382481, Gujarat.",Ahmedabad,Gujarat,"(+91) 95952 56677, 90819 11124, Mobile: (+91) - 95952 56677",info@sabarmatiuniversity.edu.in
Raksha Shakti University  - Admissions to 2025 - 2026 Academic Year,State University,"Camp Road, New Mental Corner, Meghani Nagar, Ahmedabad, Gujarat 380016",Ahmedabad,Gujarat,079 2268 3624,
Rai University  - Admissions to 2025 - 2026 Academic Year,Private University,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,No phone numbers available,
R.K. University  - Admissions to 2025 - 2026 Academic Year,Private University,"Bhavnagar Highway, Kasturbadham, Rajkot, Gujarat 360020",Rajkot,Gujarat,099257 14450,
Parul University  - Admissions to 2025 - 2026 Academic Year,"Parul University of Gujarat offers more than 50 programs at Diploma, Graduate, Post Graduate and Doctoral Levels in Engineering, Pharmacy, Architecture, Physiotherapy, Ayurveda, Management, Nursing, Applied Arts, Applied Science etc. at Vadodara, Ahmedabad & Rajkot.","Parul UniversiyP.O.Limda, Ta.Waghodia - 391760Dist. Vadodara, Gujarat(India)",Vadodara,Gujarat,"+91-2668-260312/202/300/307 +91-9099040577, +91-9978993371, 1800-233-111-111 /",": admissions@paruluniversity.ac.in,parultrust@paru"
Sumandeep Vidyapeeth University   - Admissions to 2025 - 2026 Academic Year,,"Po Pipariya, Ta. Waghodia, Dist. Vadodara-391 760",Dist. Vadodara,Gujarat,"2668 245262 , 2668 245292",info@sumandeepuniversity.co.in
Pandit Deendayal Energy University  - Admissions to 2025 - 2026 Academic Year,"Looking for a top university in Gujarat for a petroleum engineering course? If so you can opt for Pandit Deendayal Energy University (PDEU), located in Gandhinagar, Gujarat. Established in the year 2007 in Raisan Village, Gandhinagar City, this educational institution is one of the best universities in India offering multiple courses in Engineering, Arts, and Management disciplines. Formerly this institution was known as Pandit Deendayal Petroleum University (PDPU). Learn from this page the course details, admission criteria, and contact details of the institution.","Knowledge Corridor, Raisan Village,Gandhinagar - 382007, Gujarat (State), INDIA",Gandhinagar,Gujarat,"+91 79 23275060, +91 79 23275109/ 19, Fax - +91 79 23275030",admissions@spm.pdpu.ac.in
Nirma University   - Admissions to 2025 - 2026 Academic Year,,"Sarkhej-Gandhinagar Highway, Post : Chandlodia, Via : Gota, Ahmedabad - 382 481.",Ahmedabad,Gujarat,"+91 - 2717 - 241900, +91 - 2717 - 241911",asst_registrar@nirmauni.ac.in
Indian Institute of Management  - Admissions to 2025 - 2026 Academic Year,"Autonomous Body under Department of Higher Education, Ministry of Human Resources and Development","Vastrapur, Ahmedabad, Gujarat 380015",Ahmedabad,Gujarat,079 6632 3456,
Sardar Krushinagar  Dantiwada Agricultural Uiversity  - Admissions to 2025 - 2026 Academic Year,,(Distt. Banaskantha) - 385 506,Dantiwada,Gujarat,"02748-278457, 02748-278465",vc@gauskn.guj.nic.in
Hemchandracharya North Gujarat University  - Admissions to 2025 - 2026 Academic Year,,PB No. 21 University Road Patan - 384 265,Patan,Gujarat,,vc@ngu.ac.in / reg@ugu.ac.in
Central University of Gujarat  - Admissions to 2025 - 2026 Academic Year,Central University,"Sector 29, Gandhinagar, Gujarat 382030",Gandhinagar,Gujarat,079 2397 7407,"registrar@cug.ac.in, webmaster@cug.ac.in"
Gujarat Vidyapeeth  - Admissions to 2025 - 2026 Academic Year,,"Nr. Income Tax Office, Ashram Road,Ahmedabad - 380 014",Ahmedabad,Gujarat,27540746 / 27541148 / 27544349,gvpahd@vsnl.com
Gujarat University  - Admissions to 2025 - 2026 Academic Year,"Recommended by none other than Mahatma Gandhi and Sardar Patel for its formation, Gujarat University is the oldest and largest university in the state. A state owned university; it is an affiliating one for undergraduate studies and a teaching one for postgraduation. Explore its rich history and learn about its affiliated colleges.","Navrangpura,Ahmedabad – 380 009",Ahmedabad,Gujarat,"Phone : +91-079-26301341, 26300342/43 Fax : +91-079-26302654",vcofficegu@gmail.com
C.U. Shah University  - Admissions to 2025 - 2026 Academic Year,Private University,"Surendranagar - Ahmedabad Highway, Nr. Kothariya Village, Dist. Surendranagar, Wadhwan, Gujarat 363030",Kothariya Village,Gujarat,+91-2752-247711,registrar@cushahuniversity.org
Auro University  - Admissions to 2025 - 2026 Academic Year,"Looking for a hospital management course? Interested to take a master's degree in mass communication? AURO University is a leading private university located in Surat in the state of Gujarat, India that offers UG, and PG courses in various disciplines like mass communication,  liberal arts, hospitality, business, IT, design, law, and sciences. Learn more about the courses, admission, and contact details of this institution.","Earthspace, Hazira Road, opp ONGC,Surat - 394510, Gujarat,India.",Surat,Gujarat,"+91 261 4088100, +91 261 4088104",info@aurouniversity.edu.in
Anand Agricultural University  - Admissions to 2025 - 2026 Academic Year,"Interested in pursuing an engineering degree in agriculture? Looking for an agricultural university in Gujarat? Anand Agricultural University is one of the renowned universities in Gujarat, established to provide educational assistance to the farming community in the fields of agriculture, horticulture, engineering, information technology, and business studies. Learn more about various agricultural engineering courses, admission criteria, and contact details of this university which was earlier a part of Gujarat Agricultural University.","Anand Agricultural University,ANAND –388 110,Gujarat,India.",Anand,Gujarat,"(Office) +91-2692-261310, Fax- +91-2692-261310",registrar@aau.in
Ahmedabad University  - Admissions to 2025 - 2026 Academic Year,"Ahmedabad University located in Ahmedabad, the most populous city in the Indian state of Gujarat, is one of the best universities in the state popular for its research and interdisciplinary studies. Know the international collaborations, affiliated colleges, academic programmes, and the institution's contact address.","Commerce Six Roads,Navrangpura, Ahmedabad - 380009Gujarat",Ahmedabad,Gujarat,"+91 79 61911200, 61911201","info@ahduni.edu.in, ugadmissions@ahduni.edu.in"
Indian Institute of Public Health  - Admissions to 2025 - 2026 Academic Year,Private University,"Sardar Patel Institute Campus, Opp Udgam school, Drive in Road, Ahmedabad, Gujarat 380054",Ahmedabad,Gujarat,079 4024 0444,
